"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Book service","GET by Id endpoint","Get Book by Id parameter validation","0","0","1","0","0"
"Book service","PUT endpoint","Update Book","2","0","5","0","0"
"Book service","POST endpoint","Create Book payload validation","13","0","5","0","0"
"Book service","GET endpoint","Get Book response validation","3","0","1","0","0"
"Book service","PUT endpoint","Update Book payload validation","13","0","4","0","0"
"Book service","DELETE endpoint","Delete Book parameter validation","0","0","1","0","0"
"Book service","POST endpoint","Create Book","1","0","0","0","0"
"Book service","PUT endpoint","Update Book parameter validation","1","0","0","0","0"
"Book service","GET endpoint","Get Book","0","0","1","0","0"
"Book service","GET by Id endpoint","Get Book by Id","0","0","1","0","0"
"Book service","DELETE endpoint","Delete Book","0","0","1","0","0"
