"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 14:00:16 CET 2024","Sun Mar 03 14:00:18 CET 2024","1979","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetByIdTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetByIdTest","cannot_get_not_existing_book_by_id","cannot get not existing book by id",""
"passed","Sun Mar 03 14:01:03 CET 2024","Sun Mar 03 14:01:05 CET 2024","1737","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_a_new_publisher","update book with a new publisher",""
"failed","Sun Mar 03 14:00:32 CET 2024","Sun Mar 03 14:00:32 CET 2024","616","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_null_category","create new book with null category",""
"failed","Sun Mar 03 14:00:24 CET 2024","Sun Mar 03 14:00:26 CET 2024","1925","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","books_have_positive_price","books have positive price",""
"failed","Sun Mar 03 14:00:37 CET 2024","Sun Mar 03 14:00:38 CET 2024","643","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_price_above_maximum","create new book with price above maximum",""
"failed","Sun Mar 03 14:00:42 CET 2024","Sun Mar 03 14:00:42 CET 2024","622","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_text_fields_contain_polish_chars","create new book with text fields contain polish chars",""
"failed","Sun Mar 03 14:01:14 CET 2024","Sun Mar 03 14:01:15 CET 2024","1191","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_maximum_number_of_pages","update book with maximum number of pages",""
"failed","Sun Mar 03 14:00:48 CET 2024","Sun Mar 03 14:00:49 CET 2024","1246","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_number_of_pages_below_minimum","update book with number of pages below minimum",""
"failed","Sun Mar 03 14:00:38 CET 2024","Sun Mar 03 14:00:39 CET 2024","673","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_price_below_minimum","create new book with price below minimum",""
"failed","Sun Mar 03 14:00:30 CET 2024","Sun Mar 03 14:00:30 CET 2024","620","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_null_author","create new book with null author",""
